groupCode,groupDesc
"U  ","Unknown                                                                                                                                                                                                 "
A-1,"Physics                                                                                                                                                                                                 "
A-2,"Chemistry                                                                                                                                                                                               "
D-1,"Social Sciences (Anthropology, Economics, Political Science, Sociology, Public Policy, etc.), Psychology, Digital Arts, STEM Education, and Other Sciences                                              "
A-3,"Mathematics, Statistics, Geo/Atmospheric/Ocean Sciences                                                                                                                                                 "
C-6,"Electrical and Computer Engineering                                                                                                                                                                     "
D-2,"Technology Entrepreneurship, Financial Engineering, Business Management, Law involving Science and Engineering                                                                                          "
C-8,"Industrial, Manufacturing, and Systems Engineering, Management Sciences, Operations Research                                                                                                            "
C-7,"Computer and Information Sciences                                                                                                                                                                       "
B-1,"Health Sciences (Medical Science, Veterinary Medicine, Pharmaceutical Science, Public Health, Nursing, etc.)                                                                                            "
B-2,"Agricultural Sciences (Agriculture, Ecology, Food, Nutrition, etc.)                                                                                                                                     "
B-3,"Biological and Biomedical Sciences (Biology, Molecular Biology, Cognitive Science, Botany, Zoology, Biomechanics, etc.)                                                                                 "
C-1,"Bioengineering and Biomedical Engineering                                                                                                                                                               "
C-2,"Chemical, Textile, Energy, and Nuclear Engineering                                                                                                                                                      "
C-3,"Mechanical, Aerospace, and Naval Engineering                                                                                                                                                            "
C-4,"Materials Science and Engineering, Nanotechnology                                                                                                                                                       "
C-5,"Civil and Environmental Engineering, Architecture                                                                                                                                                       "
